stop_no,id,name,address,time_window,service_minutes,priority,leg_distance_km,total_distance_km
1,D002,銀座配送先,東京都中央区銀座4丁目,09:00-11:30,15,1,1.04,1.04
2,D010,錦糸町配送先,東京都墨田区江東橋3丁目,15:00-18:00,15,1,5.23,6.27
3,D006,新宿配送先,東京都新宿区西新宿1丁目,10:00-14:00,10,1,10.38,16.64
4,D005,渋谷配送先,東京都渋谷区道玄坂1丁目,13:00-16:00,15,2,3.51,20.16
5,D003,新橋配送先,東京都港区新橋2丁目,10:00-13:00,10,2,5.22,25.38
6,D001,東京駅受取所,東京都千代田区丸の内1丁目,09:00-12:00,10,2,1.84,27.22
7,D008,上野配送先,東京都台東区上野7丁目,09:30-12:30,15,2,3.73,30.95
8,D009,浅草配送先,東京都台東区浅草1丁目,12:00-15:00,10,2,1.76,32.72
9,D007,池袋配送先,東京都豊島区南池袋1丁目,14:00-17:00,10,3,8.01,40.73
10,D004,六本木配送先,東京都港区六本木6丁目,11:00-15:00,20,3,7.84,48.57
