id,name,address,lat,lng,time_window_start,time_window_end,service_minutes,priority
D001,東京駅受取所,東京都千代田区丸の内1丁目,35.681236,139.767125,09:00,12:00,10,2
D002,銀座配送先,東京都中央区銀座4丁目,35.671989,139.765794,09:00,11:30,15,1
D003,新橋配送先,東京都港区新橋2丁目,35.666195,139.758587,10:00,13:00,10,2
D004,六本木配送先,東京都港区六本木6丁目,35.660238,139.730077,11:00,15:00,20,3
D005,渋谷配送先,東京都渋谷区道玄坂1丁目,35.658034,139.701636,13:00,16:00,15,2
D006,新宿配送先,東京都新宿区西新宿1丁目,35.689592,139.700413,10:00,14:00,10,1
D007,池袋配送先,東京都豊島区南池袋1丁目,35.728926,139.710380,14:00,17:00,10,3
D008,上野配送先,東京都台東区上野7丁目,35.713768,139.777254,09:30,12:30,15,2
D009,浅草配送先,東京都台東区浅草1丁目,35.711991,139.796654,12:00,15:00,10,2
D010,錦糸町配送先,東京都墨田区江東橋3丁目,35.696845,139.814978,15:00,18:00,15,1
